departure,arrival,travel_time_seconds,distance_km,emissions_kg_co2,transport_type,route_details
Auxerre,Montpellier,42296,1208.808,1813.212,car,"{'one_way_distance_km': 604.404, 'one_way_duration_seconds': 21148, 'one_way_emissions_kg_co2': 906.606, 'travel_steps': [{'step_type': 'car', 'from': 'Auxerre', 'to': 'Montpellier', 'distance_km': 604.404, 'travel_time_seconds': 21148}, {'step_type': 'car', 'from': 'Montpellier', 'to': 'Auxerre', 'distance_km': 604.404, 'travel_time_seconds': 21148}]}"
Auxerre,Nantes,32918,988.3,1482.4499999999998,car,"{'one_way_distance_km': 494.15, 'one_way_duration_seconds': 16459, 'one_way_emissions_kg_co2': 741.2249999999999, 'travel_steps': [{'step_type': 'car', 'from': 'Auxerre', 'to': 'Nantes', 'distance_km': 494.15, 'travel_time_seconds': 16459}, {'step_type': 'car', 'from': 'Nantes', 'to': 'Auxerre', 'distance_km': 494.15, 'travel_time_seconds': 16459}]}"
Auxerre,Nice,52284,1530.706,2296.0589999999997,car,"{'one_way_distance_km': 765.353, 'one_way_duration_seconds': 26142, 'one_way_emissions_kg_co2': 1148.0294999999999, 'travel_steps': [{'step_type': 'car', 'from': 'Auxerre', 'to': 'Nice', 'distance_km': 765.353, 'travel_time_seconds': 26142}, {'step_type': 'car', 'from': 'Nice', 'to': 'Auxerre', 'distance_km': 765.353, 'travel_time_seconds': 26142}]}"
Auxerre,Paris Saint-Germain,13294,341.064,511.596,car,"{'one_way_distance_km': 170.532, 'one_way_duration_seconds': 6647, 'one_way_emissions_kg_co2': 255.798, 'travel_steps': [{'step_type': 'car', 'from': 'Auxerre', 'to': 'Paris Saint-Germain', 'distance_km': 170.532, 'travel_time_seconds': 6647}, {'step_type': 'car', 'from': 'Paris Saint-Germain', 'to': 'Auxerre', 'distance_km': 170.532, 'travel_time_seconds': 6647}]}"
Auxerre,Reims,17712,407.84,611.76,car,"{'one_way_distance_km': 203.92, 'one_way_duration_seconds': 8856, 'one_way_emissions_kg_co2': 305.88, 'travel_steps': [{'step_type': 'car', 'from': 'Auxerre', 'to': 'Reims', 'distance_km': 203.92, 'travel_time_seconds': 8856}, {'step_type': 'car', 'from': 'Reims', 'to': 'Auxerre', 'distance_km': 203.92, 'travel_time_seconds': 8856}]}"
Auxerre,Rennes,33186,963.748,1445.622,car,"{'one_way_distance_km': 481.874, 'one_way_duration_seconds': 16593, 'one_way_emissions_kg_co2': 722.811, 'travel_steps': [{'step_type': 'car', 'from': 'Auxerre', 'to': 'Rennes', 'distance_km': 481.874, 'travel_time_seconds': 16593}, {'step_type': 'car', 'from': 'Rennes', 'to': 'Auxerre', 'distance_km': 481.874, 'travel_time_seconds': 16593}]}"
Auxerre,Strasbourg,34442,964.356,1446.534,car,"{'one_way_distance_km': 482.178, 'one_way_duration_seconds': 17221, 'one_way_emissions_kg_co2': 723.2669999999999, 'travel_steps': [{'step_type': 'car', 'from': 'Auxerre', 'to': 'Strasbourg', 'distance_km': 482.178, 'travel_time_seconds': 17221}, {'step_type': 'car', 'from': 'Strasbourg', 'to': 'Auxerre', 'distance_km': 482.178, 'travel_time_seconds': 17221}]}"
Auxerre,Saint-Étienne,25544,721.31,1081.965,car,"{'one_way_distance_km': 360.655, 'one_way_duration_seconds': 12772, 'one_way_emissions_kg_co2': 540.9825, 'travel_steps': [{'step_type': 'car', 'from': 'Auxerre', 'to': 'Saint-Étienne', 'distance_km': 360.655, 'travel_time_seconds': 12772}, {'step_type': 'car', 'from': 'Saint-Étienne', 'to': 'Auxerre', 'distance_km': 360.655, 'travel_time_seconds': 12772}]}"
Auxerre,Toulouse,47604,1233.184,1849.776,car,"{'one_way_distance_km': 616.592, 'one_way_duration_seconds': 23802, 'one_way_emissions_kg_co2': 924.8879999999999, 'travel_steps': [{'step_type': 'car', 'from': 'Auxerre', 'to': 'Toulouse', 'distance_km': 616.592, 'travel_time_seconds': 23802}, {'step_type': 'car', 'from': 'Toulouse', 'to': 'Auxerre', 'distance_km': 616.592, 'travel_time_seconds': 23802}]}"
Brest,Le Havre,33440,910.47,1365.705,car,"{'one_way_distance_km': 455.235, 'one_way_duration_seconds': 16720, 'one_way_emissions_kg_co2': 682.8525, 'travel_steps': [{'step_type': 'car', 'from': 'Brest', 'to': 'Le Havre', 'distance_km': 455.235, 'travel_time_seconds': 16720}, {'step_type': 'car', 'from': 'Le Havre', 'to': 'Brest', 'distance_km': 455.235, 'travel_time_seconds': 16720}]}"
Brest,Lens,52464,1466.34,2199.51,car,"{'one_way_distance_km': 733.17, 'one_way_duration_seconds': 26232, 'one_way_emissions_kg_co2': 1099.7549999999999, 'travel_steps': [{'step_type': 'car', 'from': 'Brest', 'to': 'Lens', 'distance_km': 733.17, 'travel_time_seconds': 26232}, {'step_type': 'car', 'from': 'Lens', 'to': 'Brest', 'distance_km': 733.17, 'travel_time_seconds': 26232}]}"
Brest,Lille,53354,1502.666,2253.999,car,"{'one_way_distance_km': 751.333, 'one_way_duration_seconds': 26677, 'one_way_emissions_kg_co2': 1126.9995, 'travel_steps': [{'step_type': 'car', 'from': 'Brest', 'to': 'Lille', 'distance_km': 751.333, 'travel_time_seconds': 26677}, {'step_type': 'car', 'from': 'Lille', 'to': 'Brest', 'distance_km': 751.333, 'travel_time_seconds': 26677}]}"
Brest,Lyon,65316,1971.19,2956.785,car,"{'one_way_distance_km': 985.595, 'one_way_duration_seconds': 32658, 'one_way_emissions_kg_co2': 1478.3925, 'travel_steps': [{'step_type': 'car', 'from': 'Brest', 'to': 'Lyon', 'distance_km': 985.595, 'travel_time_seconds': 32658}, {'step_type': 'car', 'from': 'Lyon', 'to': 'Brest', 'distance_km': 985.595, 'travel_time_seconds': 32658}]}"
Brest,Marseille,85674,2573.564,3860.346,car,"{'one_way_distance_km': 1286.782, 'one_way_duration_seconds': 42837, 'one_way_emissions_kg_co2': 1930.173, 'travel_steps': [{'step_type': 'car', 'from': 'Brest', 'to': 'Marseille', 'distance_km': 1286.782, 'travel_time_seconds': 42837}, {'step_type': 'car', 'from': 'Marseille', 'to': 'Brest', 'distance_km': 1286.782, 'travel_time_seconds': 42837}]}"
Brest,Monaco,98004,2914.724,4372.086,car,"{'one_way_distance_km': 1457.362, 'one_way_duration_seconds': 49002, 'one_way_emissions_kg_co2': 2186.043, 'travel_steps': [{'step_type': 'car', 'from': 'Brest', 'to': 'Monaco', 'distance_km': 1457.362, 'travel_time_seconds': 49002}, {'step_type': 'car', 'from': 'Monaco', 'to': 'Brest', 'distance_km': 1457.362, 'travel_time_seconds': 49002}]}"
Brest,Montpellier,74310,2247.604,3371.4059999999995,car,"{'one_way_distance_km': 1123.802, 'one_way_duration_seconds': 37155, 'one_way_emissions_kg_co2': 1685.7029999999997, 'travel_steps': [{'step_type': 'car', 'from': 'Brest', 'to': 'Montpellier', 'distance_km': 1123.802, 'travel_time_seconds': 37155}, {'step_type': 'car', 'from': 'Montpellier', 'to': 'Brest', 'distance_km': 1123.802, 'travel_time_seconds': 37155}]}"
Brest,Nantes,21254,588.856,883.2839999999999,car,"{'one_way_distance_km': 294.428, 'one_way_duration_seconds': 10627, 'one_way_emissions_kg_co2': 441.64199999999994, 'travel_steps': [{'step_type': 'car', 'from': 'Brest', 'to': 'Nantes', 'distance_km': 294.428, 'travel_time_seconds': 10627}, {'step_type': 'car', 'from': 'Nantes', 'to': 'Brest', 'distance_km': 294.428, 'travel_time_seconds': 10627}]}"
Brest,Nice,95038,2863.82,4295.7300000000005,car,"{'one_way_distance_km': 1431.91, 'one_way_duration_seconds': 47519, 'one_way_emissions_kg_co2': 2147.8650000000002, 'travel_steps': [{'step_type': 'car', 'from': 'Brest', 'to': 'Nice', 'distance_km': 1431.91, 'travel_time_seconds': 47519}, {'step_type': 'car', 'from': 'Nice', 'to': 'Brest', 'distance_km': 1431.91, 'travel_time_seconds': 47519}]}"
Brest,Paris Saint-Germain,40590,1170.392,1755.5879999999995,car,"{'one_way_distance_km': 585.196, 'one_way_duration_seconds': 20295, 'one_way_emissions_kg_co2': 877.7939999999999, 'travel_steps': [{'step_type': 'car', 'from': 'Brest', 'to': 'Paris Saint-Germain', 'distance_km': 585.196, 'travel_time_seconds': 20295}, {'step_type': 'car', 'from': 'Paris Saint-Germain', 'to': 'Brest', 'distance_km': 585.196, 'travel_time_seconds': 20295}]}"
Brest,Reims,50080,1448.442,2172.663,car,"{'one_way_distance_km': 724.221, 'one_way_duration_seconds': 25040, 'one_way_emissions_kg_co2': 1086.3315, 'travel_steps': [{'step_type': 'car', 'from': 'Brest', 'to': 'Reims', 'distance_km': 724.221, 'travel_time_seconds': 25040}, {'step_type': 'car', 'from': 'Reims', 'to': 'Brest', 'distance_km': 724.221, 'travel_time_seconds': 25040}]}"
Brest,Rennes,17414,476.728,715.092,car,"{'one_way_distance_km': 238.364, 'one_way_duration_seconds': 8707, 'one_way_emissions_kg_co2': 357.546, 'travel_steps': [{'step_type': 'car', 'from': 'Brest', 'to': 'Rennes', 'distance_km': 238.364, 'travel_time_seconds': 8707}, {'step_type': 'car', 'from': 'Rennes', 'to': 'Brest', 'distance_km': 238.364, 'travel_time_seconds': 8707}]}"
Brest,Strasbourg,73596,2146.61,3219.9150000000004,car,"{'one_way_distance_km': 1073.305, 'one_way_duration_seconds': 36798, 'one_way_emissions_kg_co2': 1609.9575000000002, 'travel_steps': [{'step_type': 'car', 'from': 'Brest', 'to': 'Strasbourg', 'distance_km': 1073.305, 'travel_time_seconds': 36798}, {'step_type': 'car', 'from': 'Strasbourg', 'to': 'Brest', 'distance_km': 1073.305, 'travel_time_seconds': 36798}]}"
Brest,Saint-Étienne,61604,1890.27,2835.4049999999997,car,"{'one_way_distance_km': 945.135, 'one_way_duration_seconds': 30802, 'one_way_emissions_kg_co2': 1417.7024999999999, 'travel_steps': [{'step_type': 'car', 'from': 'Brest', 'to': 'Saint-Étienne', 'distance_km': 945.135, 'travel_time_seconds': 30802}, {'step_type': 'car', 'from': 'Saint-Étienne', 'to': 'Brest', 'distance_km': 945.135, 'travel_time_seconds': 30802}]}"
Brest,Toulouse,58684,1771.042,2656.563,car,"{'one_way_distance_km': 885.521, 'one_way_duration_seconds': 29342, 'one_way_emissions_kg_co2': 1328.2815, 'travel_steps': [{'step_type': 'car', 'from': 'Brest', 'to': 'Toulouse', 'distance_km': 885.521, 'travel_time_seconds': 29342}, {'step_type': 'car', 'from': 'Toulouse', 'to': 'Brest', 'distance_km': 885.521, 'travel_time_seconds': 29342}]}"
Le Havre,Lens,20724,583.688,875.5319999999999,car,"{'one_way_distance_km': 291.844, 'one_way_duration_seconds': 10362, 'one_way_emissions_kg_co2': 437.76599999999996, 'travel_steps': [{'step_type': 'car', 'from': 'Le Havre', 'to': 'Lens', 'distance_km': 291.844, 'travel_time_seconds': 10362}, {'step_type': 'car', 'from': 'Lens', 'to': 'Le Havre', 'distance_km': 291.844, 'travel_time_seconds': 10362}]}"
Le Havre,Lille,21614,620.014,930.021,car,"{'one_way_distance_km': 310.007, 'one_way_duration_seconds': 10807, 'one_way_emissions_kg_co2': 465.0105, 'travel_steps': [{'step_type': 'car', 'from': 'Le Havre', 'to': 'Lille', 'distance_km': 310.007, 'travel_time_seconds': 10807}, {'step_type': 'car', 'from': 'Lille', 'to': 'Le Havre', 'distance_km': 310.007, 'travel_time_seconds': 10807}]}"
Le Havre,Lyon,44796,1332.69,1999.035,car,"{'one_way_distance_km': 666.345, 'one_way_duration_seconds': 22398, 'one_way_emissions_kg_co2': 999.5174999999999, 'travel_steps': [{'step_type': 'car', 'from': 'Le Havre', 'to': 'Lyon', 'distance_km': 666.345, 'travel_time_seconds': 22398}, {'step_type': 'car', 'from': 'Lyon', 'to': 'Le Havre', 'distance_km': 666.345, 'travel_time_seconds': 22398}]}"
Le Havre,Marseille,65554,1938.11,2907.165,car,"{'one_way_distance_km': 969.055, 'one_way_duration_seconds': 32777, 'one_way_emissions_kg_co2': 1453.5825, 'travel_steps': [{'step_type': 'car', 'from': 'Le Havre', 'to': 'Marseille', 'distance_km': 969.055, 'travel_time_seconds': 32777}, {'step_type': 'car', 'from': 'Marseille', 'to': 'Le Havre', 'distance_km': 969.055, 'travel_time_seconds': 32777}]}"
Le Havre,Monaco,77882,2279.27,3418.905,car,"{'one_way_distance_km': 1139.635, 'one_way_duration_seconds': 38941, 'one_way_emissions_kg_co2': 1709.4525, 'travel_steps': [{'step_type': 'car', 'from': 'Le Havre', 'to': 'Monaco', 'distance_km': 1139.635, 'travel_time_seconds': 38941}, {'step_type': 'car', 'from': 'Monaco', 'to': 'Le Havre', 'distance_km': 1139.635, 'travel_time_seconds': 38941}]}"
Le Havre,Montpellier,60356,1817.084,2725.626,car,"{'one_way_distance_km': 908.542, 'one_way_duration_seconds': 30178, 'one_way_emissions_kg_co2': 1362.813, 'travel_steps': [{'step_type': 'car', 'from': 'Le Havre', 'to': 'Montpellier', 'distance_km': 908.542, 'travel_time_seconds': 30178}, {'step_type': 'car', 'from': 'Montpellier', 'to': 'Le Havre', 'distance_km': 908.542, 'travel_time_seconds': 30178}]}"
Le Havre,Nantes,26482,763.306,1144.959,car,"{'one_way_distance_km': 381.653, 'one_way_duration_seconds': 13241, 'one_way_emissions_kg_co2': 572.4795, 'travel_steps': [{'step_type': 'car', 'from': 'Le Havre', 'to': 'Nantes', 'distance_km': 381.653, 'travel_time_seconds': 13241}, {'step_type': 'car', 'from': 'Nantes', 'to': 'Le Havre', 'distance_km': 381.653, 'travel_time_seconds': 13241}]}"
Le Havre,Nice,74918,2228.366,3342.5489999999995,car,"{'one_way_distance_km': 1114.183, 'one_way_duration_seconds': 37459, 'one_way_emissions_kg_co2': 1671.2744999999998, 'travel_steps': [{'step_type': 'car', 'from': 'Le Havre', 'to': 'Nice', 'distance_km': 1114.183, 'travel_time_seconds': 37459}, {'step_type': 'car', 'from': 'Nice', 'to': 'Le Havre', 'distance_km': 1114.183, 'travel_time_seconds': 37459}]}"
Le Havre,Paris Saint-Germain,13860,380.984,571.4759999999999,car,"{'one_way_distance_km': 190.492, 'one_way_duration_seconds': 6930, 'one_way_emissions_kg_co2': 285.73799999999994, 'travel_steps': [{'step_type': 'car', 'from': 'Le Havre', 'to': 'Paris Saint-Germain', 'distance_km': 190.492, 'travel_time_seconds': 6930}, {'step_type': 'car', 'from': 'Paris Saint-Germain', 'to': 'Le Havre', 'distance_km': 190.492, 'travel_time_seconds': 6930}]}"
Le Havre,Reims,23714,692.218,1038.327,car,"{'one_way_distance_km': 346.109, 'one_way_duration_seconds': 11857, 'one_way_emissions_kg_co2': 519.1635, 'travel_steps': [{'step_type': 'car', 'from': 'Le Havre', 'to': 'Reims', 'distance_km': 346.109, 'travel_time_seconds': 11857}, {'step_type': 'car', 'from': 'Reims', 'to': 'Le Havre', 'distance_km': 346.109, 'travel_time_seconds': 11857}]}"
Le Havre,Rennes,18832,549.45,824.175,car,"{'one_way_distance_km': 274.725, 'one_way_duration_seconds': 9416, 'one_way_emissions_kg_co2': 412.0875, 'travel_steps': [{'step_type': 'car', 'from': 'Le Havre', 'to': 'Rennes', 'distance_km': 274.725, 'travel_time_seconds': 9416}, {'step_type': 'car', 'from': 'Rennes', 'to': 'Le Havre', 'distance_km': 274.725, 'travel_time_seconds': 9416}]}"
Le Havre,Strasbourg,47382,1390.654,2085.981,car,"{'one_way_distance_km': 695.327, 'one_way_duration_seconds': 23691, 'one_way_emissions_kg_co2': 1042.9904999999999, 'travel_steps': [{'step_type': 'car', 'from': 'Le Havre', 'to': 'Strasbourg', 'distance_km': 695.327, 'travel_time_seconds': 23691}, {'step_type': 'car', 'from': 'Strasbourg', 'to': 'Le Havre', 'distance_km': 695.327, 'travel_time_seconds': 23691}]}"
Le Havre,Saint-Étienne,47106,1426.792,2140.1879999999996,car,"{'one_way_distance_km': 713.396, 'one_way_duration_seconds': 23553, 'one_way_emissions_kg_co2': 1070.0939999999998, 'travel_steps': [{'step_type': 'car', 'from': 'Le Havre', 'to': 'Saint-Étienne', 'distance_km': 713.396, 'travel_time_seconds': 23553}, {'step_type': 'car', 'from': 'Saint-Étienne', 'to': 'Le Havre', 'distance_km': 713.396, 'travel_time_seconds': 23553}]}"
Le Havre,Toulouse,57822,1696.766,2545.149,car,"{'one_way_distance_km': 848.383, 'one_way_duration_seconds': 28911, 'one_way_emissions_kg_co2': 1272.5745, 'travel_steps': [{'step_type': 'car', 'from': 'Le Havre', 'to': 'Toulouse', 'distance_km': 848.383, 'travel_time_seconds': 28911}, {'step_type': 'car', 'from': 'Toulouse', 'to': 'Le Havre', 'distance_km': 848.383, 'travel_time_seconds': 28911}]}"
Lens,Lille,3798,79.688,119.532,car,"{'one_way_distance_km': 39.844, 'one_way_duration_seconds': 1899, 'one_way_emissions_kg_co2': 59.766, 'travel_steps': [{'step_type': 'car', 'from': 'Lens', 'to': 'Lille', 'distance_km': 39.844, 'travel_time_seconds': 1899}, {'step_type': 'car', 'from': 'Lille', 'to': 'Lens', 'distance_km': 39.844, 'travel_time_seconds': 1899}]}"
