base_name,stop_area_id,gare_name,latitude,longitude
Nîmes Centre (Nîmes),stop_area:SNCF:87775007,Nîmes Centre (Nîmes),43.832313,4.365872
Mulhouse (Mulhouse),stop_area:SNCF:87182063,Mulhouse (Mulhouse),47.742691,7.34316
Laroche - Migennes (Migennes),stop_area:SNCF:87683268,Laroche - Migennes (Migennes),47.960998,3.513191
Saint-Michel (Paris),stop_area:SNCF:87785436,Saint-Michel (Paris),48.853463,2.345436
Gare du Nord (Paris),stop_area:SNCF:87271007,Paris Nord (Paris),48.880136,2.354851
Dijon (Dijon),stop_area:SNCF:87713040,Dijon (Dijon),47.323411,5.027256
Montbard (Montbard),stop_area:SNCF:87713131,Montbard (Montbard),47.618741,4.336212
La Défense (Puteaux),stop_area:SNCF:87382218,La Défense (Puteaux),48.89308,2.23763
Versailles Chantiers (Versailles),stop_area:SNCF:87393009,Versailles Chantiers (Versailles),48.795826,2.135883
Montereau (Montereau-Fault-Yonne),stop_area:SNCF:87682302,Montereau (Montereau-Fault-Yonne),48.379902,2.94293
Arras (Arras),stop_area:SNCF:87342014,Arras (Arras),50.286971,2.781314
Magenta (Paris),stop_area:SNCF:87281873,Magenta (Paris),48.879706,2.358362
Massy - Palaiseau (Massy),stop_area:SNCF:87393579,Massy-Palaiseau (Massy),48.726421,2.257528
Aix-en-Provence TGV (Aix-en-Provence),stop_area:SNCF:87319012,Aix-en-Provence TGV (Aix-en-Provence),43.455237,5.317534
Antibes (Antibes),stop_area:SNCF:87757674,Antibes (Antibes),43.585971,7.119913
Le Mans (Le Mans),stop_area:SNCF:87396002,Le Mans (Le Mans),47.995615,0.192614
Paris Gare de Lyon (Paris),stop_area:SNCF:87686006,Paris - Gare de Lyon - Hall 1 & 2 (Paris),48.844945,2.373481
Aéroport Charles de Gaulle 2 TGV (Tremblay-en-France),stop_area:SNCF:87271494,Aéroport Charles de Gaulle 2 TGV (Tremblay-en-France),49.003618,2.570812
Champagne-Ardenne TGV (Bezannes),stop_area:SNCF:87171926,Champagne-Ardenne TGV (Bezannes),49.214769,3.994523
Melun (Melun),stop_area:SNCF:87682005,Melun (Melun),48.527583,2.655349
Tours (Tours),stop_area:SNCF:87571000,Tours (Tours),47.389694,0.693638
Massy TGV (Massy),stop_area:SNCF:87393702,Massy TGV (Massy),48.725758,2.261254
Viroflay Rive Gauche (Viroflay),stop_area:SNCF:87393215,Viroflay Rive Gauche (Viroflay),48.800517,2.171147
Rouen Rive Droite (Rouen),stop_area:SNCF:87411017,Rouen Rive Droite (Rouen),49.448663,1.094103
Nîmes Pont-du-Gard (Manduel),stop_area:SNCF:87703975,Nîmes Pont-du-Gard (Manduel),43.816809,4.507678
Aéroport - Charles-de-Gaulle 2 RER (Tremblay-en-France),stop_area:SNCF:87001479,Aéroport - Charles-de-Gaulle 2 RER (Tremblay-en-France),49.003965,2.570665
