,Nom,trajet,steps,type,distance,time,vehicule_type,distance_autocar,duration_autocar
10,Angers-Brest route 5,Angers;-Brest,"['Angers Saint-Laud;-Rennes', 'Rennes;-Brest Train Station']","['TER28', 'TGV INOUI']","['173 km', '249 km']","[5580, 6960]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN']",7563,1288
11,Angers-Brest route 6,Angers;-Brest,"['Angers Saint-Laud;-Rennes', 'Rennes;-Brest Train Station']","['TER28', 'TGV INOUI']","['173 km', '249 km']","[5580, 6960]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN']",7563,1288
12,Angers-Le Havre route 1,Angers;-Le Havre,"['Angers Saint-Laud;-Gare Montparnasse', 'Saint-Lazare;-Le Havre']","['OUIGO', 'TER']","['298 km', '227 km']","[5040, 7500]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",13573,2822
13,Angers-Le Havre route 2,Angers;-Le Havre,"['Angers Saint-Laud;-Gare Montparnasse', 'Saint-Lazare;-Le Havre']","['OUIGO', 'TER']","['298 km', '227 km']","[5040, 7500]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",13573,2822
14,Angers-Le Havre route 3,Angers;-Le Havre,"['Angers Saint-Laud;-Gare Montparnasse', 'Saint-Lazare;-Le Havre']","['OUIGO', 'TER']","['298 km', '227 km']","[5040, 7500]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",13573,2822
15,Angers-Le Havre route 4,Angers;-Le Havre,"['Angers Saint-Laud;-Gare Montparnasse', 'Saint-Lazare;-Le Havre']","['OUIGO', 'TER']","['298 km', '227 km']","[5040, 7500]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",13573,2822
16,Angers-Le Havre route 5,Angers;-Le Havre,"['Angers Saint-Laud;-Gare Montparnasse', 'Saint-Lazare;-Le Havre']","['OUIGO', 'TER']","['298 km', '227 km']","[5040, 7500]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",13573,2822
17,Angers-Le Havre route 6,Angers;-Le Havre,"['Angers Saint-Laud;-Gare Montparnasse', 'Saint-Lazare;-Le Havre']","['OUIGO', 'TER']","['298 km', '227 km']","[5040, 7500]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",13573,2822
18,Angers-Lens route 1,Angers;-Lens,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lille Europe', 'Lille Flandres;-Lens']","['TGV INOUI', 'TGV INOUI', 'TER']","['96.7 km', '476 km', '38.7 km']","[2280, 10080, 2400]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",5952,1454
19,Angers-Lens route 2,Angers;-Lens,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare du Nord;-Amiens', 'Amiens;-Arras', 'Arras;-Lens']","['OUIGO', 'TER', 'TER', 'TER']","['298 km', '131 km', '67.9 km', '19.1 km']","[5040, 4080, 2460, 960]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL', 'HEAVY_RAIL']",13798,3343
20,Angers-Lens route 3,Angers;-Lens,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lille Europe', 'Lille Flandres;-Lens']","['TGV INOUI', 'TGV INOUI', 'TER']","['96.7 km', '476 km', '38.7 km']","[2280, 10080, 2400]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",5952,1454
21,Angers-Lens route 4,Angers;-Lens,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare du Nord;-Lens']","['TGV INOUI', 'TGV INOUI']","['298 km', '199 km']","[5220, 4260]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",13798,3343
22,Angers-Lens route 5,Angers;-Lens,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare du Nord;-Lens']","['TGV INOUI', 'TGV INOUI']","['298 km', '199 km']","[5220, 4260]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",13798,3343
23,Angers-Lens route 6,Angers;-Lens,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare du Nord;-Douai', 'Douai;-Lens']","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '205 km', '25.8 km']","[5820, 3960, 1860]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",13798,3343
24,Angers-Lille route 1,Angers;-Lille,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lille Europe']","['TGV INOUI', 'TGV INOUI']","['96.7 km', '476 km']","[2280, 10080]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",15363,1640
25,Angers-Lille route 2,Angers;-Lille,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lille Europe']","['TGV INOUI', 'TGV INOUI']","['96.7 km', '476 km']","[2280, 10080]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",15363,1640
26,Angers-Lille route 3,Angers;-Lille,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lille Europe']","['TGV INOUI', 'TGV INOUI']","['96.7 km', '476 km']","[2280, 10080]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",15363,1640
27,Angers-Lille route 4,Angers;-Lille,"['Angers Saint-Laud;-Saint-Pierre-des-Corps', 'Saint-Pierre-des-Corps;-Lille Europe']","['TGV INOUI', 'TGV INOUI']","['108 km', '495 km']","[3480, 10920]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",15363,1640
28,Angers-Lille route 5,Angers;-Lille,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare du Nord;-Lille Europe']","['TGV INOUI', 'TGV INOUI']","['298 km', '233 km']","[5220, 4500]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",24423,3907
29,Angers-Lille route 6,Angers;-Lille,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare du Nord;-Lille Flandres']","['TGV INOUI', 'TGV INOUI']","['298 km', '225 km']","[5220, 3900]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",25619,4006
30,Angers-Lyon route 1,Angers;-Lyon,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Lyon Part Dieu']","['OUIGO', 'TGV INOUI']","['298 km', '427 km']","[5040, 7320]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",28870,3938
31,Angers-Lyon route 2,Angers;-Lyon,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Lyon Part Dieu']","['TGV INOUI', 'TGV INOUI']","['298 km', '427 km']","[5820, 7320]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",28870,3938
32,Angers-Lyon route 3,Angers;-Lyon,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Lyon Part Dieu']","['TGV INOUI', 'FR']","['298 km', '431 km']","[5820, 6900]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",28870,3938
33,Angers-Lyon route 4,Angers;-Lyon,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Lyon Part Dieu']","['TGV INOUI', 'TGV INOUI']","['298 km', '427 km']","[5820, 7320]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",28870,3938
34,Angers-Lyon route 5,Angers;-Lyon,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lyon Part Dieu']","['TER', 'TGV INOUI']","['96.7 km', '620 km']","[2880, 10800]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN']",22256,2338
35,Angers-Lyon route 6,Angers;-Lyon,['Angers Saint-Laud;-Lyon Part Dieu'],['TGV INOUI'],['748 km'],[14640],['HIGH_SPEED_TRAIN'],22256,2338
36,Angers-Marseille route 1,Angers;-Marseille,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Marseille Saint-Charles']","['TGV INOUI', 'TGV INOUI']","['298 km', '747 km']","[5820, 11040]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",17657,3221
37,Angers-Marseille route 2,Angers;-Marseille,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Marseille Saint-Charles']","['TGV INOUI', 'TGV INOUI']","['298 km', '747 km']","[5820, 11040]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",17657,3221
38,Angers-Marseille route 3,Angers;-Marseille,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lyon Part Dieu', 'Lyon Part Dieu;-Marseille Saint-Charles']","['TER', 'TGV INOUI', 'TGV INOUI']","['96.7 km', '620 km', '320 km']","[2880, 10800, 6180]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",11043,1621
39,Angers-Marseille route 4,Angers;-Marseille,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lyon Part Dieu', 'Lyon Part Dieu;-Marseille Saint-Charles']","['TER', 'TGV INOUI', 'TGV INOUI']","['96.7 km', '620 km', '320 km']","[2880, 10800, 6180]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",11043,1621
40,Angers-Marseille route 5,Angers;-Marseille,"['Angers Saint-Laud;-Lyon Part Dieu', 'Lyon Part Dieu;-Marseille Saint-Charles']","['TGV INOUI', 'TGV INOUI']","['748 km', '320 km']","[14640, 5940]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",11043,1621
41,Angers-Marseille route 6,Angers;-Marseille,"['Angers Saint-Laud;-Lyon Part Dieu', 'Lyon Part Dieu;-Marseille Saint-Charles']","['TGV INOUI', 'TGV INOUI']","['748 km', '320 km']","[14640, 5940]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",11043,1621
42,Angers-Monaco route 1,Angers;-Monaco,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '940 km', '46.9 km']","[5820, 19020, 3720]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",11208,2591
43,Angers-Monaco route 2,Angers;-Monaco,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '940 km', '46.9 km']","[5820, 19020, 3720]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",11208,2591
44,Angers-Monaco route 3,Angers;-Monaco,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Nice-Ville', 'Nice-Ville;-Monaco-Monte-Carlo station']","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '971 km', '16.0 km']","[5820, 21180, 1440]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",11208,2591
45,Angers-Monaco route 4,Angers;-Monaco,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['TGV INOUI', 'OUIGO', 'TER']","['298 km', '938 km', '46.9 km']","[5820, 19080, 3660]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",11208,2591
46,Angers-Monaco route 5,Angers;-Monaco,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Antibes', 'Antibes;-Monaco-Monte-Carlo station']","['TGV INOUI', 'OUIGO', 'TER']","['298 km', '949 km', '35.9 km']","[5820, 19800, 2880]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",11208,2591
47,Angers-Monaco route 6,Angers;-Monaco,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['TGV INOUI', 'OUIGO', 'TER']","['298 km', '938 km', '46.9 km']","[5820, 19080, 3660]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",11208,2591
48,Angers-Montpellier route 1,Angers;-Montpellier,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Montpellier Saint-Roch']","['TGV INOUI', 'TGV INOUI']","['298 km', '736 km']","[5820, 12540]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",17402,3286
49,Angers-Montpellier route 2,Angers;-Montpellier,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Montpellier Saint-Roch']","['TGV INOUI', 'TGV INOUI']","['298 km', '736 km']","[5820, 12540]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",17402,3286
50,Angers-Montpellier route 3,Angers;-Montpellier,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lyon Part Dieu', 'Lyon Part Dieu;-Montpellier Saint-Roch']","['TER', 'TGV INOUI', 'TGV INOUI']","['96.7 km', '620 km', '314 km']","[2880, 10800, 6900]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",10788,1686
51,Angers-Montpellier route 4,Angers;-Montpellier,"['Angers Saint-Laud;-Lyon Part Dieu', 'Lyon Part Dieu;-Montpellier Saint-Roch']","['TGV INOUI', 'TGV INOUI']","['748 km', '314 km']","[14640, 6660]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",10788,1686
52,Angers-Montpellier route 5,Angers;-Montpellier,"['Angers Saint-Laud;-Lyon Part Dieu', 'Lyon Part Dieu;-Montpellier Saint-Roch']","['TGV INOUI', 'TGV INOUI']","['748 km', '314 km']","[14640, 6660]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",10788,1686
53,Angers-Montpellier route 6,Angers;-Montpellier,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Montpellier Saint-Roch']","['TGV INOUI', 'TGV INOUI']","['298 km', '736 km']","[5220, 12540]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",17402,3286
54,Angers-Nantes route 1,Angers;-Nantes,['Angers Saint-Laud;-Nantes'],['TGV INOUI'],['87.3 km'],[2160],['HIGH_SPEED_TRAIN'],8229,1535
55,Angers-Nantes route 2,Angers;-Nantes,['Angers Saint-Laud;-Nantes'],['TGV INOUI'],['87.3 km'],[2160],['HIGH_SPEED_TRAIN'],8229,1535
56,Angers-Nantes route 3,Angers;-Nantes,['Angers Saint-Laud;-Nantes'],['TER21'],['87.3 km'],[2640],['HEAVY_RAIL'],8229,1535
57,Angers-Nantes route 4,Angers;-Nantes,['Angers Saint-Laud;-Nantes'],['TER'],['87.3 km'],[2640],['HEAVY_RAIL'],8229,1535
58,Angers-Nantes route 5,Angers;-Nantes,['Angers Saint-Laud;-Nantes'],['TGV INOUI'],['87.3 km'],[2220],['HIGH_SPEED_TRAIN'],8229,1535
59,Angers-Nantes route 6,Angers;-Nantes,['Angers Saint-Laud;-Nantes'],['TER28'],['87.3 km'],[2520],['HEAVY_RAIL'],8229,1535
60,Angers-Nice route 1,Angers;-Nice,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Cannes', 'Cannes;-Nice Saint-Augustin']","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '940 km', '25.1 km']","[5820, 19020, 1680]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",16557,3113
61,Angers-Nice route 2,Angers;-Nice,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lyon Part Dieu', 'Lyon Part Dieu;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Nice Saint-Augustin']","['TER', 'TGV INOUI', 'TGV INOUI', 'TER']","['96.7 km', '620 km', '320 km', '218 km']","[2880, 10800, 6180, 9240]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",9943,1513
62,Angers-Nice route 3,Angers;-Nice,"['Angers Saint-Laud;-Lyon Part Dieu', 'Lyon Part Dieu;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Nice Saint-Augustin']","['TGV INOUI', 'TGV INOUI', 'TER']","['748 km', '320 km', '218 km']","[14640, 5940, 9065]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",9943,1513
63,Angers-Nice route 4,Angers;-Nice,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Cannes', 'Cannes;-Nice Saint-Augustin']","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '938 km', '25.1 km']","[5220, 18240, 1920]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",16557,3113
64,Angers-Nice route 5,Angers;-Nice,"['Angers Saint-Laud;-Lyon Part Dieu', 'Lyon Part Dieu;-Marseille Saint-Charles']","['TGV INOUI', 'TGV INOUI']","['717 km', '320 km']","[13560, 6120]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",197979,8026
65,Angers-Nice route 6,Angers;-Nice,"['Angers Saint-Laud;-Lyon Part Dieu', 'Lyon Part Dieu;-Marseille Saint-Charles']","['TGV INOUI', 'TGV INOUI']","['717 km', '320 km']","[13560, 6120]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",197979,8026
66,Angers-Paris Saint-Germain route 1,Angers;-Paris Saint-Germain,['Angers Saint-Laud;-Gare Montparnasse'],['OUIGO'],['298 km'],[5040],['HIGH_SPEED_TRAIN'],9839,1668
67,Angers-Paris Saint-Germain route 2,Angers;-Paris Saint-Germain,['Angers Saint-Laud;-Gare Montparnasse'],['OUIGO'],['298 km'],[5040],['HIGH_SPEED_TRAIN'],9839,1668
68,Angers-Paris Saint-Germain route 3,Angers;-Paris Saint-Germain,['Angers Saint-Laud;-Gare Montparnasse'],['TGV INOUI'],['298 km'],[5820],['HIGH_SPEED_TRAIN'],9839,1668
69,Angers-Paris Saint-Germain route 4,Angers;-Paris Saint-Germain,['Angers Saint-Laud;-Gare Montparnasse'],['TGV INOUI'],['298 km'],[5820],['HIGH_SPEED_TRAIN'],9839,1668
70,Angers-Paris Saint-Germain route 5,Angers;-Paris Saint-Germain,['Angers Saint-Laud;-Gare Montparnasse'],['TGV INOUI'],['298 km'],[5820],['HIGH_SPEED_TRAIN'],9839,1668
71,Angers-Paris Saint-Germain route 6,Angers;-Paris Saint-Germain,['Angers Saint-Laud;-Gare Montparnasse'],['TGV INOUI'],['298 km'],[5820],['HIGH_SPEED_TRAIN'],9839,1668
72,Angers-Reims route 1,Angers;-Reims,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Champagne-Ardenne TGV""]","['TGV INOUI', 'TGV INOUI']","['298 km', '136 km']","[5820, 2400]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",16769,3618
73,Angers-Reims route 2,Angers;-Reims,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Reims"", ""Reims;-Franchet d'Esperey""]","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '146 km', '2.2 km']","[5820, 2760, 180]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",12637,3074
74,Angers-Reims route 3,Angers;-Reims,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Reims"", ""Reims;-Franchet d'Esperey""]","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '146 km', '2.2 km']","[5820, 2760, 180]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",12637,3074
75,Angers-Reims route 4,Angers;-Reims,"['Angers Maître École;-Angers Saint-Laud', 'Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Reims"", ""Reims;-Franchet d'Esperey""]","['TER', 'TGV INOUI', 'TGV INOUI', 'TER']","['1.9 km', '298 km', '146 km', '2.2 km']","[180, 5820, 2760, 180]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",11686,2611
76,Angers-Reims route 5,Angers;-Reims,"['Angers Saint-Laud;-Champagne-Ardenne TGV', ""Champagne-Ardenne TGV;-Franchet d'Esperey""]","['TGV INOUI', 'TER']","['488 km', '7.7 km']","[11460, 420]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",4306,980
77,Angers-Reims route 6,Angers;-Reims,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Reims"", ""Reims;-Franchet d'Esperey""]","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '146 km', '2.2 km']","[5820, 2760, 120]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",12637,3074
78,Angers-Rennes route 1,Angers;-Rennes,"['Angers Saint-Laud;-Nantes', 'Nantes;-Rennes']","['TGV INOUI', 'TER02']","['87.3 km', '149 km']","[2160, 4560]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",9355,1519
79,Angers-Rennes route 2,Angers;-Rennes,"['Angers Saint-Laud;-Nantes', 'Nantes;-Rennes']","['TGV INOUI', 'TER02']","['87.3 km', '149 km']","[2160, 4560]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",9355,1519
80,Angers-Rennes route 3,Angers;-Rennes,"['Angers Saint-Laud;-Nantes', 'Nantes;-Rennes']","['TGV INOUI', 'TER02']","['87.3 km', '149 km']","[2160, 4560]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",9355,1519
81,Angers-Rennes route 4,Angers;-Rennes,"['Angers Saint-Laud;-Nantes', 'Nantes;-Rennes']","['TGV INOUI', 'TER02']","['87.3 km', '149 km']","[2160, 4560]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']",9355,1519
82,Angers-Rennes route 5,Angers;-Rennes,['Angers Saint-Laud;-Rennes'],['TER28'],['173 km'],[5580],['HEAVY_RAIL'],9355,1519
83,Angers-Rennes route 6,Angers;-Rennes,"['Angers Saint-Laud;-Nantes', 'Nantes;-Rennes']","['TER28', 'TER02']","['87.3 km', '149 km']","[2520, 4560]","['HEAVY_RAIL', 'HEAVY_RAIL']",9355,1519
84,Angers-Strasbourg route 1,Angers;-Strasbourg,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Strasbourg""]","['TGV INOUI', 'ICE']","['298 km', '438 km']","[5820, 6360]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",16270,3644
85,Angers-Strasbourg route 2,Angers;-Strasbourg,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Strasbourg""]","['TGV INOUI', 'TGV INOUI']","['298 km', '438 km']","[5820, 6360]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",16270,3644
86,Angers-Strasbourg route 3,Angers;-Strasbourg,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Strasbourg""]","['TGV INOUI', 'ICE']","['298 km', '438 km']","[5820, 6360]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",16270,3644
87,Angers-Strasbourg route 4,Angers;-Strasbourg,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Strasbourg""]","['TGV INOUI', 'TGV INOUI']","['298 km', '438 km']","[5820, 6360]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",16270,3644
88,Angers-Strasbourg route 5,Angers;-Strasbourg,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Strasbourg""]","['TGV INOUI', 'ICE']","['298 km', '438 km']","[5820, 6360]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']",16270,3644
