,Nom,trajet,steps,type,distance,time,vehicule_type
39,Angers-Marseille route 4,Angers;-Marseille,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lyon Part Dieu', 'Lyon Part Dieu;-Marseille Saint-Charles']","['TER', 'TGV INOUI', 'TGV INOUI']","['96.7 km', '620 km', '320 km']","[2880, 10800, 6180]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
40,Angers-Marseille route 5,Angers;-Marseille,"['Angers Saint-Laud;-Lyon Part Dieu', 'Lyon Part Dieu;-Marseille Saint-Charles']","['TGV INOUI', 'TGV INOUI']","['748 km', '320 km']","[14640, 5940]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
41,Angers-Marseille route 6,Angers;-Marseille,"['Angers Saint-Laud;-Lyon Part Dieu', 'Lyon Part Dieu;-Marseille Saint-Charles']","['TGV INOUI', 'TGV INOUI']","['748 km', '320 km']","[14640, 5940]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
42,Angers-Monaco route 1,Angers;-Monaco,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '940 km', '46.9 km']","[5820, 19020, 3720]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
43,Angers-Monaco route 2,Angers;-Monaco,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '940 km', '46.9 km']","[5820, 19020, 3720]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
44,Angers-Monaco route 3,Angers;-Monaco,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Nice-Ville', 'Nice-Ville;-Monaco-Monte-Carlo station']","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '971 km', '16.0 km']","[5820, 21180, 1440]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
45,Angers-Monaco route 4,Angers;-Monaco,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['TGV INOUI', 'OUIGO', 'TER']","['298 km', '938 km', '46.9 km']","[5820, 19080, 3660]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
46,Angers-Monaco route 5,Angers;-Monaco,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Antibes', 'Antibes;-Monaco-Monte-Carlo station']","['TGV INOUI', 'OUIGO', 'TER']","['298 km', '949 km', '35.9 km']","[5820, 19800, 2880]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
47,Angers-Monaco route 6,Angers;-Monaco,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['TGV INOUI', 'OUIGO', 'TER']","['298 km', '938 km', '46.9 km']","[5820, 19080, 3660]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
48,Angers-Montpellier route 1,Angers;-Montpellier,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Montpellier Saint-Roch']","['TGV INOUI', 'TGV INOUI']","['298 km', '736 km']","[5820, 12540]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
49,Angers-Montpellier route 2,Angers;-Montpellier,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Montpellier Saint-Roch']","['TGV INOUI', 'TGV INOUI']","['298 km', '736 km']","[5820, 12540]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
50,Angers-Montpellier route 3,Angers;-Montpellier,"['Angers Saint-Laud;-Le Mans', 'Le Mans;-Lyon Part Dieu', 'Lyon Part Dieu;-Montpellier Saint-Roch']","['TER', 'TGV INOUI', 'TGV INOUI']","['96.7 km', '620 km', '314 km']","[2880, 10800, 6900]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
51,Angers-Montpellier route 4,Angers;-Montpellier,"['Angers Saint-Laud;-Lyon Part Dieu', 'Lyon Part Dieu;-Montpellier Saint-Roch']","['TGV INOUI', 'TGV INOUI']","['748 km', '314 km']","[14640, 6660]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
