,Nom,trajet,steps,type,distance,time,vehicule_type
912,Montpellier-Auxerre route 1,Montpellier;-Auxerre,"['Montpellier Saint-Roch;-Lyon Part Dieu', 'Lyon Part Dieu;-Lyon-Perrache']","['AVE INT', 'TER']","['314 km', '5.1 km']","[6660, 480]","['HEAVY_RAIL', 'HEAVY_RAIL']"
913,Montpellier-Auxerre route 2,Montpellier;-Auxerre,"['Montpellier Saint-Roch;-Lyon Part Dieu', 'Lyon Part Dieu;-Lyon-Perrache']","['AVE INT', 'TER']","['314 km', '5.1 km']","[6660, 480]","['HEAVY_RAIL', 'HEAVY_RAIL']"
914,Montpellier-Auxerre route 3,Montpellier;-Auxerre,"['Montpellier Sud de France;-Gare de Lyon', 'Montereau;-Auxerre Saint-Gervais']","['TGV INOUI', 'TER']","['729 km', '95.7 km']","[11880, 5580]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
915,Montpellier-Auxerre route 4,Montpellier;-Auxerre,"['Montpellier Sud de France;-Gare de Lyon', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Laroche Migennes"", 'Laroche Migennes;-Auxerre Saint-Gervais']","['TGV INOUI', 'TER', 'TER']","['729 km', '152 km', '19.4 km']","[11880, 5340, 1020]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
916,Montpellier-Auxerre route 5,Montpellier;-Auxerre,"['Montpellier Sud de France;-Gare de Lyon', ""Paris Bercy Bourgogne - Pays d'Auvergne;-Laroche Migennes"", 'Laroche Migennes;-Auxerre Saint-Gervais']","['TGV INOUI', 'TER', 'TER']","['729 km', '152 km', '19.4 km']","[11880, 5340, 1020]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
917,Montpellier-Auxerre route 6,Montpellier;-Auxerre,"['Montpellier Saint-Roch;-Dijon', 'Dijon;-Laroche Migennes', 'Laroche Migennes;-Auxerre Saint-Gervais']","['TGV INOUI', 'TER', 'TER']","['506 km', '159 km', '19.4 km']","[13380, 5100, 1020]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
918,Montpellier-Brest route 1,Montpellier;-Brest,"['Montpellier Sud de France;-Gare de Lyon', 'Gare Montparnasse;-Brest Train Station']","['TGV INOUI', 'TGV INOUI']","['729 km', '605 km']","[11880, 13320]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
919,Montpellier-Brest route 2,Montpellier;-Brest,"['Montpellier Sud de France;-Gare de Lyon', 'Gare Montparnasse;-Brest Train Station']","['TGV INOUI', 'TGV INOUI']","['729 km', '605 km']","[11880, 13320]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
920,Montpellier-Brest route 3,Montpellier;-Brest,"['Montpellier Sud de France;-Gare de Lyon', 'Gare Montparnasse;-Brest Train Station']","['TGV INOUI', 'TGV INOUI']","['729 km', '605 km']","[11880, 13320]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
921,Montpellier-Brest route 4,Montpellier;-Brest,"['Montpellier Saint-Roch;-Gare de Lyon', 'Gare Montparnasse;-Brest Train Station']","['TGV INOUI', 'TGV INOUI']","['736 km', '605 km']","[12480, 13140]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
922,Montpellier-Brest route 5,Montpellier;-Brest,"['Montpellier Saint-Roch;-Gare de Lyon', 'Gare Montparnasse;-Brest Train Station']","['TGV INOUI', 'TGV INOUI']","['736 km', '605 km']","[12480, 13140]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
923,Montpellier-Brest route 6,Montpellier;-Brest,['Montpellier Saint-Roch;-Gare de Lyon'],['TGV INOUI'],['736 km'],[12480],['HIGH_SPEED_TRAIN']
924,Montpellier-Le Havre route 1,Montpellier;-Le Havre,"['Montpellier Sud de France;-Gare de Lyon', 'Saint-Lazare;-Le Havre']","['TGV INOUI', 'TER']","['729 km', '227 km']","[11880, 7920]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
925,Montpellier-Le Havre route 2,Montpellier;-Le Havre,"['Montpellier Sud de France;-Gare de Lyon', 'Saint-Lazare;-Le Havre']","['TGV INOUI', 'TER']","['729 km', '227 km']","[11880, 7920]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
926,Montpellier-Le Havre route 3,Montpellier;-Le Havre,"['Montpellier Sud de France;-Gare de Lyon', 'Saint-Lazare;-Le Havre']","['TGV INOUI', 'TER']","['729 km', '227 km']","[11880, 7920]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
927,Montpellier-Le Havre route 4,Montpellier;-Le Havre,"['Montpellier Sud de France;-Gare de Lyon', 'Saint-Lazare;-Le Havre']","['TGV INOUI', 'TER']","['729 km', '227 km']","[11880, 7920]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
928,Montpellier-Le Havre route 5,Montpellier;-Le Havre,"['Montpellier Sud de France;-Gare de Lyon', 'Saint-Lazare;-Le Havre']","['TGV INOUI', 'TER']","['729 km', '227 km']","[11880, 7920]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
929,Montpellier-Le Havre route 6,Montpellier;-Le Havre,"['Montpellier Saint-Roch;-Gare de Lyon', 'Saint-Lazare;-Le Havre']","['TGV INOUI', 'TER']","['736 km', '227 km']","[12480, 8160]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
930,Montpellier-Lens route 1,Montpellier;-Lens,"['Montpellier Sud de France;-Gare de Lyon', 'Gare du Nord;-Lens']","['TGV INOUI', 'TGV INOUI']","['729 km', '199 km']","[11880, 4260]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
931,Montpellier-Lens route 2,Montpellier;-Lens,"['Montpellier Sud de France;-Gare de Lyon', 'Gare du Nord;-Lens']","['TGV INOUI', 'TGV INOUI']","['729 km', '199 km']","[11880, 4260]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
932,Montpellier-Lens route 3,Montpellier;-Lens,"['Montpellier Saint-Roch;-Lyon Part Dieu', 'Lyon Part Dieu;-Arras', 'Arras;-Lens']","['TGV INOUI', 'TGV INOUI', 'TER']","['314 km', '599 km', '19.1 km']","[6780, 10440, 960]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
933,Montpellier-Lens route 4,Montpellier;-Lens,"['Montpellier Saint-Roch;-Nîmes Pont du Gard', 'Nîmes Pont du Gard;-Gare de Lyon', 'Gare du Nord;-Lens']","['TER', 'TGV INOUI', 'TGV INOUI']","['62.6 km', '674 km', '199 km']","[2640, 10680, 4260]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
934,Montpellier-Lens route 5,Montpellier;-Lens,"['Montpellier Saint-Roch;-Nîmes Pont du Gard', 'Nîmes Pont du Gard;-Gare de Lyon', 'Gare du Nord;-Lens']","['TER', 'TGV INOUI', 'TGV INOUI']","['62.6 km', '674 km', '199 km']","[2640, 10680, 4260]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
935,Montpellier-Lens route 6,Montpellier;-Lens,"['Montpellier Saint-Roch;-Lille Europe', 'Lille Flandres;-Lens']","['TGV INOUI', 'TER']","['959 km', '37.8 km']","[18420, 3420]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
936,Montpellier-Lille route 1,Montpellier;-Lille,"['Montpellier Saint-Roch;-Lyon Part Dieu', 'Lyon Part Dieu;-Lille Europe']","['AVE INT', 'TGV INOUI']","['314 km', '645 km']","[6660, 10680]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN']"
937,Montpellier-Lille route 2,Montpellier;-Lille,"['Montpellier Saint-Roch;-Nîmes Pont du Gard', 'Nîmes Pont du Gard;-Lille Flandres']","['TER', 'OUIGO']","['62.6 km', '892 km']","[2640, 16020]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN']"
938,Montpellier-Lille route 3,Montpellier;-Lille,"['Montpellier Sud de France;-Gare de Lyon', 'Gare du Nord;-Lille Europe']","['TGV INOUI', 'TGV INOUI']","['729 km', '233 km']","[11880, 4500]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
939,Montpellier-Lille route 4,Montpellier;-Lille,['Montpellier Sud de France;-Lille Flandres'],['OUIGO'],['947 km'],[17340],['HIGH_SPEED_TRAIN']
940,Montpellier-Lille route 5,Montpellier;-Lille,"['Montpellier Saint-Roch;-Gare de Lyon', 'Gare du Nord;-Lille Flandres']","['TGV INOUI', 'TGV INOUI']","['736 km', '225 km']","[12480, 3900]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
941,Montpellier-Lille route 6,Montpellier;-Lille,"['Montpellier Saint-Roch;-Lyon Part Dieu', 'Lyon Part Dieu;-Lille Flandres']","['TGV INOUI', 'TGV INOUI']","['314 km', '658 km']","[6780, 13440]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
942,Montpellier-Lyon route 1,Montpellier;-Lyon,['Montpellier Saint-Roch;-Lyon Part Dieu'],['AVE INT'],['314 km'],[6660],['HEAVY_RAIL']
943,Montpellier-Lyon route 2,Montpellier;-Lyon,['Montpellier Saint-Roch;-Lyon Part Dieu'],['AVE INT'],['314 km'],[6660],['HEAVY_RAIL']
944,Montpellier-Lyon route 3,Montpellier;-Lyon,['Montpellier Saint-Roch;-Lyon Part Dieu'],['AVE INT'],['314 km'],[6660],['HEAVY_RAIL']
945,Montpellier-Lyon route 4,Montpellier;-Lyon,['Montpellier Saint-Roch;-Lyon Part Dieu'],['AVE INT'],['314 km'],[6660],['HEAVY_RAIL']
946,Montpellier-Lyon route 5,Montpellier;-Lyon,['Montpellier Saint-Roch;-Lyon Part Dieu'],['AVE INT'],['314 km'],[6660],['HEAVY_RAIL']
947,Montpellier-Lyon route 6,Montpellier;-Lyon,"['Montpellier Saint-Roch;-Nîmes Pont du Gard', 'Nîmes Pont du Gard;-Lyon Saint-Exupéry TGV']","['TER', 'OUIGO']","['62.6 km', '235 km']","[2640, 3540]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN']"
948,Montpellier-Marseille route 1,Montpellier;-Marseille,['Montpellier Saint-Roch;-Marseille Saint-Charles'],['INTERCITES'],['176 km'],[6000],['LONG_DISTANCE_TRAIN']
949,Montpellier-Marseille route 2,Montpellier;-Marseille,['Montpellier Saint-Roch;-Marseille Saint-Charles'],['INTERCITES'],['176 km'],[6000],['LONG_DISTANCE_TRAIN']
950,Montpellier-Marseille route 3,Montpellier;-Marseille,"['Montpellier Saint-Roch;-Avignon Centre', 'Avignon Centre;-Avignon TGV', 'Avignon TGV;-Marseille Saint-Charles']","['TER', 'TER', 'TGV INOUI']","['98.4 km', '4.0 km', '93.3 km']","[4380, 300, 2040]","['HEAVY_RAIL', 'HEAVY_RAIL', 'HIGH_SPEED_TRAIN']"
951,Montpellier-Marseille route 4,Montpellier;-Marseille,"['Montpellier Saint-Roch;-Avignon Centre', 'Avignon Centre;-Avignon TGV', 'Avignon TGV;-Marseille Saint-Charles']","['TER', 'TER', 'TGV INOUI']","['98.4 km', '4.0 km', '93.3 km']","[4380, 300, 2040]","['HEAVY_RAIL', 'HEAVY_RAIL', 'HIGH_SPEED_TRAIN']"
952,Montpellier-Marseille route 5,Montpellier;-Marseille,[],[],[],[],[]
953,Montpellier-Marseille route 6,Montpellier;-Marseille,['Montpellier Saint-Roch;-Marseille Saint-Charles'],['INTERCITES'],['176 km'],[5760],['LONG_DISTANCE_TRAIN']
954,Montpellier-Monaco route 1,Montpellier;-Monaco,"['Montpellier Saint-Roch;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['INTERCITES', 'TER', 'TER']","['176 km', '193 km', '46.9 km']","[6000, 7680, 3720]","['LONG_DISTANCE_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
955,Montpellier-Monaco route 2,Montpellier;-Monaco,"['Montpellier Saint-Roch;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['INTERCITES', 'TER', 'TER']","['176 km', '193 km', '46.9 km']","[6000, 7680, 3720]","['LONG_DISTANCE_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
956,Montpellier-Monaco route 3,Montpellier;-Monaco,"['Montpellier Saint-Roch;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['INTERCITES', 'TER', 'TER']","['176 km', '193 km', '46.9 km']","[6000, 7680, 3720]","['LONG_DISTANCE_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
957,Montpellier-Monaco route 4,Montpellier;-Monaco,"['Montpellier Saint-Roch;-Avignon Centre', 'Avignon Centre;-Avignon TGV', 'Avignon TGV;-Toulon', 'Toulon;-Cannes', 'Cannes;-Monaco-Monte-Carlo station']","['TER', 'TER', 'TGV INOUI', 'TER', 'TER']","['98.4 km', '4.0 km', '160 km', '126 km', '46.9 km']","[4380, 300, 5760, 4800, 3780]","['HEAVY_RAIL', 'HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
958,Montpellier-Monaco route 5,Montpellier;-Monaco,['Nice Saint-Augustin;-Monaco-Monte-Carlo station'],['TER'],['21.9 km'],[1920],['HEAVY_RAIL']
959,Montpellier-Monaco route 6,Montpellier;-Monaco,[],[],[],[],[]
960,Montpellier-Nantes route 1,Montpellier;-Nantes,"['Montpellier Saint-Roch;-Gare de Lyon', 'Gare Montparnasse;-Nantes']","['TGV INOUI', 'TGV INOUI']","['736 km', '385 km']","[12480, 7380]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
961,Montpellier-Nantes route 2,Montpellier;-Nantes,"['Montpellier Saint-Roch;-Gare de Lyon', 'Gare Montparnasse;-Nantes']","['TGV INOUI', 'TGV INOUI']","['736 km', '385 km']","[12480, 7380]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
962,Montpellier-Nantes route 3,Montpellier;-Nantes,"['Montpellier Saint-Roch;-Nîmes Pont du Gard', 'Nîmes Pont du Gard;-Gare de Lyon', 'Gare Montparnasse;-Nantes']","['TER', 'TGV INOUI', 'TGV INOUI']","['62.6 km', '674 km', '385 km']","[2640, 10680, 7620]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
963,Montpellier-Nantes route 4,Montpellier;-Nantes,"['Montpellier Saint-Roch;-Lyon Part Dieu', 'Lyon Part Dieu;-Le Mans', 'Le Mans;-Nantes']","['TGV INOUI', 'TGV INOUI', 'TER']","['314 km', '620 km', '184 km']","[6780, 10740, 5640]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
964,Montpellier-Nantes route 5,Montpellier;-Nantes,"['Montpellier Saint-Roch;-Lyon Part Dieu', 'Lyon Part Dieu;-Le Mans', 'Le Mans;-Nantes']","['TGV INOUI', 'TGV INOUI', 'TER']","['314 km', '620 km', '184 km']","[6780, 10740, 5640]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
965,Montpellier-Nantes route 6,Montpellier;-Nantes,"['Montpellier Saint-Roch;-Gare de Lyon', 'Gare Montparnasse;-Nantes']","['TGV INOUI', 'TGV INOUI']","['736 km', '385 km']","[12600, 8100]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
966,Montpellier-Nice route 1,Montpellier;-Nice,"['Montpellier Saint-Roch;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Nice Saint-Augustin']","['INTERCITES', 'TER']","['176 km', '218 km']","[6000, 9120]","['LONG_DISTANCE_TRAIN', 'HEAVY_RAIL']"
967,Montpellier-Nice route 2,Montpellier;-Nice,"['Montpellier Saint-Roch;-Marseille Saint-Charles', 'Marseille Saint-Charles;-Nice Saint-Augustin']","['INTERCITES', 'TER']","['176 km', '218 km']","[6000, 9120]","['LONG_DISTANCE_TRAIN', 'HEAVY_RAIL']"
968,Montpellier-Nice route 3,Montpellier;-Nice,"['Montpellier Saint-Roch;-Avignon Centre', 'Avignon Centre;-Avignon TGV', 'Avignon TGV;-Toulon', 'Toulon;-Nice Saint-Augustin']","['TER', 'TER', 'TGV INOUI', 'TER']","['98.4 km', '4.0 km', '160 km', '151 km']","[4380, 300, 5760, 6300]","['HEAVY_RAIL', 'HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
969,Montpellier-Nice route 4,Montpellier;-Nice,[],[],[],[],[]
970,Montpellier-Nice route 5,Montpellier;-Nice,[],[],[],[],[]
971,Montpellier-Nice route 6,Montpellier;-Nice,[],[],[],[],[]
972,Montpellier-Paris Saint-Germain route 1,Montpellier;-Paris Saint-Germain,"['Montpellier Saint-Roch;-Lyon Part Dieu', 'Lyon Part Dieu;-Gare de Lyon']","['AVE INT', 'TGV INOUI']","['314 km', '427 km']","[6660, 7440]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN']"
973,Montpellier-Paris Saint-Germain route 2,Montpellier;-Paris Saint-Germain,['Montpellier Sud de France;-Gare de Lyon'],['TGV INOUI'],['729 km'],[11880],['HIGH_SPEED_TRAIN']
974,Montpellier-Paris Saint-Germain route 3,Montpellier;-Paris Saint-Germain,['Montpellier Sud de France;-Gare de Lyon'],['TGV INOUI'],['729 km'],[11880],['HIGH_SPEED_TRAIN']
975,Montpellier-Paris Saint-Germain route 4,Montpellier;-Paris Saint-Germain,['Montpellier Sud de France;-Gare de Lyon'],['TGV INOUI'],['729 km'],[11880],['HIGH_SPEED_TRAIN']
976,Montpellier-Paris Saint-Germain route 5,Montpellier;-Paris Saint-Germain,['Montpellier Sud de France;-Gare de Lyon'],['TGV INOUI'],['729 km'],[11880],['HIGH_SPEED_TRAIN']
977,Montpellier-Paris Saint-Germain route 6,Montpellier;-Paris Saint-Germain,['Montpellier Saint-Roch;-Gare de Lyon'],['TGV INOUI'],['736 km'],[12480],['HIGH_SPEED_TRAIN']
978,Montpellier-Reims route 1,Montpellier;-Reims,"['Montpellier Saint-Roch;-Lyon Part Dieu', 'Lyon Part Dieu;-Marne-la-Vallée - Chessy', 'Marne-la-Vallée - Chessy;-Champagne-Ardenne TGV', ""Champagne-Ardenne TGV;-Franchet d'Esperey""]","['AVE INT', 'TGV INOUI', 'TGV INOUI', 'TER']","['314 km', '418 km', '141 km', '7.7 km']","[6660, 6360, 3480, 420]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
979,Montpellier-Reims route 2,Montpellier;-Reims,"['Montpellier Saint-Roch;-Lyon Part Dieu', 'Lyon Part Dieu;-Marne-la-Vallée - Chessy', 'Marne-la-Vallée - Chessy;-Champagne-Ardenne TGV']","['AVE INT', 'TGV INOUI', 'TGV INOUI']","['314 km', '418 km', '141 km']","[6660, 6360, 3480]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
980,Montpellier-Reims route 3,Montpellier;-Reims,"['Montpellier Saint-Roch;-Lyon Part Dieu', 'Lyon Part Dieu;-Marne-la-Vallée - Chessy', 'Marne-la-Vallée - Chessy;-Champagne-Ardenne TGV']","['AVE INT', 'TGV INOUI', 'TGV INOUI']","['314 km', '418 km', '141 km']","[6660, 6360, 3480]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
981,Montpellier-Reims route 4,Montpellier;-Reims,"['Montpellier Sud de France;-Gare de Lyon', ""Gare de l'Est;-Reims""]","['TGV INOUI', 'TGV INOUI']","['729 km', '146 km']","[11880, 2760]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
982,Montpellier-Reims route 5,Montpellier;-Reims,"['Montpellier Sud de France;-Gare de Lyon', 'Charles de Gaulle Airport 2 TGV;-Champagne-Ardenne TGV', ""Champagne-Ardenne TGV;-Franchet d'Esperey""]","['TGV INOUI', 'TGV INOUI', 'TER']","['729 km', '116 km', '7.7 km']","[11880, 1800, 420]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
983,Montpellier-Reims route 6,Montpellier;-Reims,"['Montpellier Sud de France;-Gare de Lyon', ""Gare de l'Est;-Reims""]","['TGV INOUI', 'TGV INOUI']","['729 km', '146 km']","[11880, 2760]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
984,Montpellier-Rennes route 1,Montpellier;-Rennes,"['Montpellier Sud de France;-Gare de Lyon', 'Gare Montparnasse;-Rennes']","['TGV INOUI', 'TGV INOUI']","['729 km', '356 km']","[11880, 5280]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
985,Montpellier-Rennes route 2,Montpellier;-Rennes,"['Montpellier Sud de France;-Gare de Lyon', 'Gare Montparnasse;-Rennes']","['TGV INOUI', 'TGV INOUI']","['729 km', '356 km']","[11880, 5280]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
986,Montpellier-Rennes route 3,Montpellier;-Rennes,"['Montpellier Saint-Roch;-Gare de Lyon', 'Gare Montparnasse;-Rennes']","['TGV INOUI', 'TGV INOUI']","['736 km', '356 km']","[12480, 5100]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
987,Montpellier-Rennes route 4,Montpellier;-Rennes,"['Montpellier Saint-Roch;-Gare de Lyon', 'Gare Montparnasse;-Rennes']","['TGV INOUI', 'TGV INOUI']","['736 km', '356 km']","[12480, 5100]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
988,Montpellier-Rennes route 5,Montpellier;-Rennes,"['Montpellier Saint-Roch;-Lyon Part Dieu', 'Lyon Part Dieu;-Rennes']","['TGV INOUI', 'TGV INOUI']","['314 km', '782 km']","[6780, 14400]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
989,Montpellier-Rennes route 6,Montpellier;-Rennes,"['Montpellier Saint-Roch;-Marne-la-Vallée - Chessy', 'Marne-la-Vallée - Chessy;-Rennes']","['TGV INOUI', 'TGV INOUI']","['732 km', '411 km']","[14100, 8760]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
990,Montpellier-Strasbourg route 1,Montpellier;-Strasbourg,"['Montpellier Sud de France;-Gare de Lyon', ""Gare de l'Est;-Strasbourg"", 'Strasbourg;-Krimmeri-Meinau']","['TGV INOUI', 'TGV INOUI', 'TER']","['729 km', '438 km', '3.2 km']","[11880, 6360, 180]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
991,Montpellier-Strasbourg route 2,Montpellier;-Strasbourg,"['Montpellier Sud de France;-Gare de Lyon', ""Gare de l'Est;-Strasbourg"", 'Strasbourg;-Krimmeri-Meinau']","['TGV INOUI', 'TGV INOUI', 'TER']","['729 km', '438 km', '3.2 km']","[11880, 6360, 180]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
992,Montpellier-Strasbourg route 3,Montpellier;-Strasbourg,"['Montpellier Saint-Roch;-Strasbourg', 'Strasbourg;-Krimmeri-Meinau']","['TGV INOUI', 'TER']","['819 km', '3.2 km']","[22620, 240]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
993,Montpellier-Strasbourg route 4,Montpellier;-Strasbourg,"['Montpellier Saint-Roch;-Lyon Part Dieu', 'Lyon Part Dieu;-Marne-la-Vallée - Chessy', 'Marne-la-Vallée - Chessy;-Strasbourg']","['AVE INT', 'TGV INOUI', 'TGV INOUI']","['314 km', '418 km', '444 km']","[6660, 6360, 9120]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
994,Montpellier-Strasbourg route 5,Montpellier;-Strasbourg,"['Montpellier Sud de France;-Valence TGV Rhône-Alpes Sud', 'Valence TGV Rhône-Alpes Sud;-Strasbourg']","['OUIGO', 'TGV INOUI']","['204 km', '607 km']","[3480, 17580]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
995,Montpellier-Strasbourg route 6,Montpellier;-Strasbourg,"['Montpellier Sud de France;-Valence TGV Rhône-Alpes Sud', 'Valence TGV Rhône-Alpes Sud;-Strasbourg']","['OUIGO', 'TGV INOUI']","['204 km', '607 km']","[3480, 17580]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
996,Montpellier-Saint-Étienne route 1,Montpellier;-Saint-Étienne,"['Montpellier Saint-Roch;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux']","['AVE INT', 'TER']","['314 km', '59.8 km']","[6660, 2820]","['HEAVY_RAIL', 'HEAVY_RAIL']"
997,Montpellier-Saint-Étienne route 2,Montpellier;-Saint-Étienne,"['Montpellier Saint-Roch;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux']","['AVE INT', 'TER']","['314 km', '59.8 km']","[6660, 2820]","['HEAVY_RAIL', 'HEAVY_RAIL']"
998,Montpellier-Saint-Étienne route 3,Montpellier;-Saint-Étienne,"['Montpellier Saint-Roch;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux', 'St-Etienne-Châteaucreux;-Saint-Étienne La Terrasse']","['AVE INT', 'TER', 'TER']","['314 km', '59.8 km', '3.0 km']","[6660, 2820, 180]","['HEAVY_RAIL', 'HEAVY_RAIL', 'HEAVY_RAIL']"
999,Montpellier-Saint-Étienne route 4,Montpellier;-Saint-Étienne,"['Montpellier Saint-Roch;-Avignon Centre', 'Avignon Centre;-Avignon TGV', 'Avignon TGV;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux']","['TER', 'TER', 'Lyria', 'TER']","['96.3 km', '4.0 km', '227 km', '59.8 km']","[4560, 300, 4200, 2820]","['HEAVY_RAIL', 'HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
1000,Montpellier-Saint-Étienne route 5,Montpellier;-Saint-Étienne,"['Montpellier Saint-Roch;-Avignon Centre', 'Avignon Centre;-Avignon TGV', 'Avignon TGV;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux']","['TER', 'TER', 'Lyria', 'TER']","['96.3 km', '4.0 km', '227 km', '59.8 km']","[4560, 300, 4200, 2820]","['HEAVY_RAIL', 'HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
1001,Montpellier-Saint-Étienne route 6,Montpellier;-Saint-Étienne,"['Montpellier Saint-Roch;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux']","['TGV INOUI', 'TER']","['314 km', '59.8 km']","[6780, 2820]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
1002,Montpellier-Toulouse route 1,Montpellier;-Toulouse,"['Montpellier Saint-Roch;-Narbonne', 'Narbonne;-Toulouse Matabiau']","['TER', 'TER']","['97.4 km', '150 km']","[3660, 6060]","['HEAVY_RAIL', 'HEAVY_RAIL']"
1003,Montpellier-Toulouse route 2,Montpellier;-Toulouse,"['Montpellier Saint-Roch;-Toulouse Matabiau', 'Toulouse Matabiau;-Saint-Agne']","['INTERCITES', 'TER']","['247 km', '3.9 km']","[7800, 240]","['LONG_DISTANCE_TRAIN', 'HEAVY_RAIL']"
